
Log started (V12.3.0.0) Tue Nov 08 15:47:00 2022

New value for results output screen indicator and file: y 1108a.txt
Variable Name           Solution Value
Y01070101013000              29.560000
Y01070101012900               5.922000
Y01070101012800               1.150000
Y01070101012700               7.110000
Y01070101012600               7.280000
Y01070101012500               2.370000
Y01070101012400              46.890000
Y01070101012300              38.390000
Y01070101012201              45.880000
Y01070101012102              86.050000
Y01070101012003             181.300000
Y01070101011904              43.330000
Y01070101011805             527.600000
Y01070101011706             120.900000
Y01070101011607             172.900000
Y01070101011508             155.000000
Y01070101011409             378.500000
Y01070101011310             237.100000
Y01070101011211             199.300000
Y01070101011112              95.760000
Y01070101010815             118.400000
Y01070101010716              57.320000
Y01070101010617              67.880000
Y01070101010518               0.390000
Y01070101010419               1.050000
Y01070101010122             156.800000
Y01070101023000              33.850000
Y01070101022900              16.220000
Y01070101022800              48.420000
Y01070101022700              16.630000
Y01070101022600              23.390000
Y01070101022500              17.600000
Y01070101022400              94.610000
Y01070101022300             204.200000
Y01070101022201             337.000000
Y01070101022102             388.400000
Y01070101022003             546.800000
Y01070101021904             145.800000
Y01070101021805             351.700000
Y01070101021706             254.200000
Y01070101021607             706.800000
Y01070101021508             342.500000
Y01070101021409             471.100000
Y01070101021310             241.100000
Y01070101021211               3.050000
Y01070101021013             307.600000
Y01070101020914             344.800000
Y01070101020815             343.500000
Y01070101020716             301.100000
Y01070101020617             104.000000
Y01070101020518             421.200000
Y01070101020419             578.900000
Y01070101020320             543.700000
Y01070101020221             521.300000
Y01070101020122             568.300000
Y01070101033000               0.202400
Y01070101032900              12.810000
Y01070101032800               3.450000
Y01070101032700              15.430000
Y01070101032600               5.480000
Y01070101032500              10.550000
Y01070101032400              15.540000
Y01070101032300              84.560000
Y01070101032201              11.310000
Y01070101032102               5.520000
Y01070101032003               5.520000
Y01070101031706              43.560000
Y01070101031409               1.490000
Y01070101031310               1.110000
Y01070101031211               6.860000
Y01070101031112               0.690000
Y01070101082303               0.290000
Y01070101082006               7.910000
Y01070101081808              27.500000
Y01070101081313               0.630000
Y01070101080818              36.280000
Y01070101080224              43.770000
Y01070101080125              86.740000
Y01070101093000               9.610000
Y01070101092800               1.590000
Y01070101092700               0.830000
Y01070101092501               2.270000
Y01070101091016              31.560000
Y01070101090719              12.570000
Y01070101090620              16.390000
Y01070101090422             101.400000
Y01070101090323               5.080000
Y01070101090125              47.780000
Y01070101102900               0.211200
Y01070101102204               1.930000
Y01070101102105              18.460000
Y01070101102006              31.070000
Y01070101101907              68.820000
Y01070101101808               0.780000
Y01070101101709              17.860000
Y01070101101610              32.730000
Y01070101101511              50.950000
Y01070101101412              20.900000
Y01070101101115              81.340000
Y01070101100917              28.530000
Y01070101112000              24.810000
Y01070101111800               6.700000
Y01070101111602               0.220000
Y01070101111503               3.420000
Y01070101111404              15.450000
Y01070101111305               8.450000
Y01070101111206               4.630000
Y01070101111107               8.600000
Y01070101110909               3.780000
Y01070101110810               0.840000
Y01070101110513               1.820000
Y01070101110414               2.190000
Y01070101110216               1.700000
Y01070101110117               4.410000
Y01070102013000              59.400000
Y01070102012900              37.430000
Y01070102012800               6.180000
Y01070102012700              68.240000
Y01070102012600              14.610000
Y01070102012500               4.680000
Y01070102012400             117.800000
Y01070102012300              83.830000
Y01070102012201              40.960000
Y01070102012102             159.200000
Y01070102012003             326.700000
Y01070102011904             324.100000
Y01070102011805             484.800000
Y01070102011706             273.400000
Y01070102011607             705.800000
Y01070102011508             524.600000
Y01070102011409             496.000000
Y01070102011310             333.400000
Y01070102011211             625.000000
Y01070102011112              57.480000
Y01070102010914             120.100000
Y01070102010815              39.060000
Y01070102010716               7.640000
Y01070102010617              40.040000
Y01070102010419               4.340000
Y01070102010221             191.200000
Y01070102010122             180.300000
Y01070102023000              42.200000
Y01070102022900              17.230000
