PROPIETARIO,REGION,ZONA,SITIO,MANEJO,PERIODOPLANTACION,FACTOR
1,6,1,1,1,-22,0.836323263
1,6,1,1,1,-20,0.836323263
1,6,1,1,1,-13,0.92924807
1,6,1,1,1,-12,0.92924807
1,6,1,1,1,-10,0.92924807
1,6,1,1,3,-22,0.836323263
1,6,1,1,9,-19,0.929072106
1,6,1,2,1,-24,0.836323263
1,6,1,2,1,-22,0.836323263
1,6,1,2,1,-21,0.836323263
1,6,1,2,1,-20,0.836323263
1,6,1,2,1,-12,0.92924807
1,6,1,2,1,-10,0.92924807
1,6,1,2,1,-4,0.92924807
1,6,1,2,1,-2,0.92924807
1,6,1,2,3,-12,0.92924807
1,6,1,2,3,-10,0.92924807
1,6,1,2,5,-24,0.836323263
1,6,1,3,1,-30,0.836323263
1,6,1,3,1,-29,0.836323263
1,6,1,3,1,-26,0.836323263
1,6,1,3,1,-24,0.836323263
1,6,1,3,1,-23,0.836323263
1,6,1,3,1,-22,0.836323263
1,6,1,3,1,-21,0.836323263
1,6,1,3,1,-20,0.836323263
1,6,1,3,1,-19,0.92924807
1,6,1,3,1,-18,0.92924807
1,6,1,3,1,-16,0.92924807
1,6,1,3,1,-13,0.92924807
1,6,1,3,1,-11,0.92924807
1,6,1,3,1,-9,0.92924807
1,6,1,3,1,-5,0.92924807
1,6,1,3,1,-4,0.92924807
1,6,1,3,1,-3,0.92924807
1,6,1,3,1,-2,0.92924807
1,6,1,3,1,-1,0.92924807
1,6,1,3,3,-22,0.836323263
1,6,1,3,3,-14,0.92924807
1,6,1,3,5,-30,0.836323263
1,6,1,4,1,-30,0.836323263
1,6,1,4,1,-29,0.836323263
1,6,1,4,1,-28,0.836323263
1,6,1,4,1,-27,0.836323263
1,6,1,4,1,-25,0.836323263
1,6,1,4,1,-24,0.836323263
1,6,1,4,1,-23,0.836323263
1,6,1,4,1,-22,0.836323263
1,6,1,4,1,-21,0.836323263
1,6,1,4,1,-20,0.836323263
1,6,1,4,1,-19,0.92924807
1,6,1,4,1,-9,0.92924807
1,6,1,4,1,-7,0.92924807
1,6,1,4,1,-3,0.92924807
1,6,1,4,1,-2,0.92924807
1,6,1,4,1,-1,0.92924807
1,6,1,4,3,-30,0.836323263
1,6,1,4,3,-29,0.836323263
1,6,1,4,3,-24,0.836323263
1,6,1,4,3,-22,0.836323263
1,6,1,4,3,-21,0.836323263
1,6,1,4,3,-20,0.836323263
1,6,1,4,4,-21,0.836323263
1,6,1,4,5,-28,0.836323263
1,6,1,4,9,-20,0.836164896
1,6,1,4,9,-18,0.929072106
1,6,4,2,3,-22,0.836323263
1,6,4,3,3,-22,0.836323263
1,6,4,3,4,-22,0.836323263
1,6,4,4,1,-22,0.836323263
1,6,4,4,1,-20,0.836323263
1,6,4,4,3,-22,0.836323263
1,6,4,4,4,-21,0.836323263
1,6,4,4,10,-20,0.836164896
1,7,1,1,1,-30,0.838787231
1,7,1,1,1,-29,0.838787231
1,7,1,1,1,-28,0.838787231
1,7,1,1,1,-27,0.838787231
1,7,1,1,1,-26,0.838787231
1,7,1,1,1,-25,0.838787231
1,7,1,1,1,-24,0.838787231
1,7,1,1,1,-23,0.838787231
1,7,1,1,1,-22,0.838787231
1,7,1,1,1,-21,0.838787231
1,7,1,1,1,-20,0.838787231
1,7,1,1,1,-19,0.931985812
1,7,1,1,1,-18,0.931985812
1,7,1,1,1,-17,0.931985812
1,7,1,1,1,-16,0.931985812
1,7,1,1,1,-15,0.931985812
1,7,1,1,1,-14,0.931985812
1,7,1,1,1,-13,0.931985812
1,7,1,1,1,-12,0.931985812
1,7,1,1,1,-11,0.931985812
1,7,1,1,1,-10,0.931985812
1,7,1,1,1,-9,0.931985812
1,7,1,1,1,-8,0.931985812
1,7,1,1,1,-7,0.931985812
1,7,1,1,1,-6,0.931985812
1,7,1,1,1,-5,0.931985812
1,7,1,1,1,-4,0.931985812
1,7,1,1,1,-3,0.931985812
1,7,1,1,1,-2,0.931985812
1,7,1,1,1,-1,0.931985812
1,7,1,1,2,-30,0.838787231
1,7,1,1,2,-29,0.838787231
1,7,1,1,2,-26,0.838787231
1,7,1,1,2,-25,0.838787231
1,7,1,1,2,-23,0.838787231
1,7,1,1,2,-22,0.838787231
1,7,1,1,2,-21,0.838787231
1,7,1,1,2,-19,0.931985812
1,7,1,1,2,-10,0.931985812
1,7,1,1,2,-9,0.931985812
1,7,1,1,2,-7,0.931985812
1,7,1,1,2,-5,0.931985812
1,7,1,1,2,-4,0.931985812
1,7,1,1,2,-3,0.931985812
1,7,1,1,3,-30,0.838787231
1,7,1,1,3,-29,0.838787231
1,7,1,1,3,-28,0.838787231
1,7,1,1,3,-27,0.838787231
1,7,1,1,3,-26,0.838787231
1,7,1,1,3,-25,0.838787231
1,7,1,1,3,-24,0.838787231
1,7,1,1,3,-23,0.838787231
1,7,1,1,3,-22,0.838787231
1,7,1,1,3,-21,0.838787231
1,7,1,1,3,-20,0.838787231
1,7,1,1,3,-18,0.931985812
1,7,1,1,3,-17,0.931985812
1,7,1,1,3,-16,0.931985812
1,7,1,1,3,-15,0.931985812
1,7,1,1,3,-14,0.931985812
1,7,1,1,3,-13,0.931985812
1,7,1,1,3,-12,0.931985812
1,7,1,1,4,-30,0.838787231
1,7,1,1,4,-29,0.838787231
1,7,1,1,4,-28,0.838787231
1,7,1,1,4,-27,0.838787231
1,7,1,1,4,-26,0.838787231
1,7,1,1,4,-25,0.838787231
1,7,1,1,4,-24,0.838787231
1,7,1,1,4,-22,0.838787231
1,7,1,1,4,-21,0.838787231
1,7,1,1,4,-18,0.931985812
1,7,1,1,4,-15,0.931985812
1,7,1,1,4,-12,0.931985812
1,7,1,1,4,-11,0.931985812
1,7,1,1,4,-8,0.931985812
1,7,1,1,5,-30,0.838787231
1,7,1,1,5,-29,0.838787231
1,7,1,1,5,-28,0.838787231
1,7,1,1,5,-27,0.838787231
1,7,1,1,5,-26,0.838787231
1,7,1,1,5,-25,0.838787231
1,7,1,1,5,-24,0.838787231
1,7,1,1,5,-23,0.838787231
1,7,1,1,5,-22,0.838787231
1,7,1,1,5,-21,0.838787231
1,7,1,1,5,-20,0.838787231
1,7,1,1,5,-19,0.931985812
1,7,1,1,5,-18,0.931985812
1,7,1,1,5,-17,0.931985812
1,7,1,1,5,-16,0.931985812
1,7,1,1,5,-15,0.931985812
1,7,1,1,5,-14,0.931985812
1,7,1,1,5,-13,0.931985812
1,7,1,1,5,-12,0.931985812
1,7,1,1,5,-11,0.931985812
1,7,1,1,5,-10,0.931985812
1,7,1,1,5,-8,0.931985812
1,7,1,1,5,-5,0.931985812
1,7,1,1,6,-30,0.838787231
1,7,1,1,6,-28,0.838787231
1,7,1,1,6,-27,0.838787231
1,7,1,1,6,-26,0.838787231
1,7,1,1,6,-25,0.838787231
1,7,1,1,6,-24,0.838787231
1,7,1,1,6,-23,0.838787231
1,7,1,1,6,-22,0.838787231
1,7,1,1,6,-21,0.838787231
1,7,1,1,6,-20,0.838787231
1,7,1,1,6,-18,0.931985812
1,7,1,1,6,-17,0.931985812
1,7,1,1,6,-16,0.931985812
1,7,1,1,6,-13,0.931985812
1,7,1,1,6,-12,0.931985812
1,7,1,1,6,-10,0.931985812
1,7,1,1,6,-8,0.931985812
1,7,1,1,6,-6,0.931985812
1,7,1,1,6,-5,0.931985812
1,7,1,1,6,-4,0.931985812
1,7,1,1,6,-3,0.931985812
1,7,1,1,9,-20,0.837605533
1,7,1,1,9,-18,0.930672814
1,7,1,1,9,-17,0.930672814
1,7,1,1,9,-16,0.930672814
1,7,1,1,9,-15,0.930672814
1,7,1,1,9,-12,0.930672814
1,7,1,1,9,-11,0.930672814
1,7,1,1,9,-10,0.930672814
1,7,1,1,9,-9,0.930672814
1,7,1,1,9,-7,0.930672814
1,7,1,1,9,-5,0.930672814
1,7,1,1,9,-4,0.930672814
1,7,1,1,10,-14,0.930672814
1,7,1,1,10,-11,0.930672814
1,7,1,1,10,-2,0.930672814
1,7,1,1,10,-1,0.930672814
1,7,1,1,11,-11,0.930672814
1,7,1,1,11,-10,0.930672814
1,7,1,1,11,-9,0.930672814
1,7,1,2,1,-30,0.838787231
1,7,1,2,1,-29,0.838787231
1,7,1,2,1,-28,0.838787231
1,7,1,2,1,-27,0.838787231
1,7,1,2,1,-26,0.838787231
1,7,1,2,1,-25,0.838787231
1,7,1,2,1,-24,0.838787231
1,7,1,2,1,-23,0.838787231
1,7,1,2,1,-22,0.838787231
1,7,1,2,1,-21,0.838787231
1,7,1,2,1,-20,0.838787231
1,7,1,2,1,-19,0.931985812
1,7,1,2,1,-18,0.931985812
1,7,1,2,1,-17,0.931985812
1,7,1,2,1,-16,0.931985812
1,7,1,2,1,-15,0.931985812
1,7,1,2,1,-14,0.931985812
1,7,1,2,1,-13,0.931985812
1,7,1,2,1,-12,0.931985812
1,7,1,2,1,-11,0.931985812
1,7,1,2,1,-10,0.931985812
1,7,1,2,1,-9,0.931985812
1,7,1,2,1,-8,0.931985812
1,7,1,2,1,-7,0.931985812
1,7,1,2,1,-6,0.931985812
1,7,1,2,1,-5,0.931985812
1,7,1,2,1,-4,0.931985812
1,7,1,2,1,-3,0.931985812
1,7,1,2,1,-2,0.931985812
1,7,1,2,1,-1,0.931985812
1,7,1,2,2,-30,0.838787231
1,7,1,2,2,-28,0.838787231
1,7,1,2,2,-27,0.838787231
1,7,1,2,2,-26,0.838787231
1,7,1,2,2,-25,0.838787231
1,7,1,2,2,-24,0.838787231
1,7,1,2,2,-23,0.838787231
1,7,1,2,2,-22,0.838787231
1,7,1,2,2,-21,0.838787231
1,7,1,2,2,-20,0.838787231
1,7,1,2,2,-18,0.931985812
1,7,1,2,2,-17,0.931985812
1,7,1,2,2,-16,0.931985812
1,7,1,2,2,-15,0.931985812
1,7,1,2,2,-14,0.931985812
1,7,1,2,2,-13,0.931985812
1,7,1,2,2,-12,0.931985812
1,7,1,2,2,-11,0.931985812
1,7,1,2,2,-10,0.931985812
1,7,1,2,2,-9,0.931985812
1,7,1,2,2,-6,0.931985812
1,7,1,2,2,-5,0.931985812
1,7,1,2,2,-4,0.931985812
1,7,1,2,2,-3,0.931985812
1,7,1,2,2,-2,0.931985812
1,7,1,2,2,-1,0.931985812
1,7,1,2,3,-30,0.838787231
1,7,1,2,3,-29,0.838787231
1,7,1,2,3,-28,0.838787231
1,7,1,2,3,-27,0.838787231
1,7,1,2,3,-26,0.838787231
1,7,1,2,3,-25,0.838787231
1,7,1,2,3,-24,0.838787231
1,7,1,2,3,-23,0.838787231
1,7,1,2,3,-22,0.838787231
1,7,1,2,3,-21,0.838787231
1,7,1,2,3,-19,0.931985812
1,7,1,2,3,-18,0.931985812
1,7,1,2,3,-17,0.931985812
1,7,1,2,3,-16,0.931985812
1,7,1,2,3,-12,0.931985812
1,7,1,2,4,-30,0.838787231
1,7,1,2,4,-29,0.838787231
1,7,1,2,4,-28,0.838787231
1,7,1,2,4,-27,0.838787231
1,7,1,2,4,-26,0.838787231
1,7,1,2,4,-25,0.838787231
1,7,1,2,4,-24,0.838787231
1,7,1,2,4,-21,0.838787231
1,7,1,2,4,-18,0.931985812
1,7,1,2,4,-16,0.931985812
1,7,1,2,4,-15,0.931985812
1,7,1,2,5,-30,0.838787231
1,7,1,2,5,-29,0.838787231
1,7,1,2,5,-28,0.838787231
1,7,1,2,5,-27,0.838787231
1,7,1,2,5,-26,0.838787231
1,7,1,2,5,-25,0.838787231
1,7,1,2,5,-24,0.838787231
1,7,1,2,5,-23,0.838787231
1,7,1,2,5,-22,0.838787231
1,7,1,2,5,-21,0.838787231
1,7,1,2,5,-20,0.838787231
1,7,1,2,5,-19,0.931985812
1,7,1,2,5,-18,0.931985812
1,7,1,2,5,-17,0.931985812
1,7,1,2,5,-14,0.931985812
1,7,1,2,5,-12,0.931985812
1,7,1,2,5,-11,0.931985812
1,7,1,2,5,-10,0.931985812
1,7,1,2,6,-30,0.838787231
1,7,1,2,6,-29,0.838787231
1,7,1,2,6,-28,0.838787231
1,7,1,2,6,-27,0.838787231
1,7,1,2,6,-26,0.838787231
1,7,1,2,6,-25,0.838787231
1,7,1,2,6,-23,0.838787231
1,7,1,2,6,-22,0.838787231
1,7,1,2,6,-21,0.838787231
1,7,1,2,6,-19,0.931985812
1,7,1,2,6,-17,0.931985812
1,7,1,2,6,-13,0.931985812
1,7,1,2,6,-12,0.931985812
1,7,1,2,6,-10,0.931985812
1,7,1,2,6,-6,0.931985812
1,7,1,2,6,-4,0.931985812
1,7,1,2,6,-3,0.931985812
1,7,1,2,6,-2,0.931985812
1,7,1,2,6,-1,0.931985812
1,7,1,2,9,-20,0.837605533
1,7,1,2,9,-19,0.930672814
1,7,1,2,9,-18,0.930672814
1,7,1,3,1,-30,0.838787231
1,7,1,3,1,-29,0.838787231
1,7,1,3,1,-28,0.838787231
1,7,1,3,1,-27,0.838787231
1,7,1,3,1,-26,0.838787231
1,7,1,3,1,-25,0.838787231
1,7,1,3,1,-24,0.838787231
1,7,1,3,1,-23,0.838787231
1,7,1,3,1,-22,0.838787231
1,7,1,3,1,-21,0.838787231
1,7,1,3,1,-20,0.838787231
1,7,1,3,1,-19,0.931985812
1,7,1,3,1,-18,0.931985812
1,7,1,3,1,-17,0.931985812
1,7,1,3,1,-16,0.931985812
1,7,1,3,1,-15,0.931985812
1,7,1,3,1,-14,0.931985812
1,7,1,3,1,-13,0.931985812
1,7,1,3,1,-12,0.931985812
1,7,1,3,1,-11,0.931985812
1,7,1,3,1,-10,0.931985812
1,7,1,3,1,-9,0.931985812
1,7,1,3,1,-8,0.931985812
1,7,1,3,1,-7,0.931985812
1,7,1,3,1,-6,0.931985812
1,7,1,3,1,-5,0.931985812
1,7,1,3,1,-4,0.931985812
1,7,1,3,1,-3,0.931985812
1,7,1,3,1,-2,0.931985812
1,7,1,3,1,-1,0.931985812
1,7,1,3,2,-30,0.838787231
1,7,1,3,2,-28,0.838787231
1,7,1,3,2,-26,0.838787231
1,7,1,3,2,-25,0.838787231
1,7,1,3,2,-24,0.838787231
