PRODUCTO,ZONA,SITIO,MANEJO,EDAD,RENDIMIENTO
1,1,1,6,22,59.6
1,1,1,6,23,63.37
1,1,1,6,24,65.93
1,1,1,6,25,68.93
1,1,1,6,26,89.89
1,1,1,6,27,91.86
1,1,1,6,28,93.58
1,1,1,6,29,95.56
1,1,1,6,30,96.92
1,1,2,6,22,29.35
1,1,2,6,23,31.38
1,1,2,6,24,36.66
1,1,2,6,25,52.61
1,1,2,6,26,54.71
1,1,2,6,27,56.61
1,1,2,6,28,59.83
1,1,2,6,29,78.68
1,1,2,6,30,80.2
1,1,3,6,22,8.85
1,1,3,6,23,9.76
1,1,3,6,24,19.09
1,1,3,6,25,22.86
1,1,3,6,26,24.26
1,1,3,6,27,25.55
1,1,3,6,28,28.82
1,1,3,6,29,41.61
1,1,3,6,30,42.93
1,1,4,6,25,3.13
1,1,4,6,26,8.8
1,1,4,6,27,9.54
1,1,4,6,28,12.58
1,1,4,6,29,13.46
1,1,4,6,30,14.29
1,2,1,6,22,74.38
1,2,1,6,23,78.46
1,2,1,6,24,81.45
1,2,1,6,25,99.67
1,2,1,6,26,102.59
1,2,1,6,27,104.71
1,2,1,6,28,106.56
1,2,1,6,29,108.12
1,2,1,6,30,109.85
1,2,2,6,22,53.91
1,2,2,6,23,56.89
1,2,2,6,24,59.62
1,2,2,6,25,79.46
1,2,2,6,26,81.99
1,2,2,6,27,84.24
1,2,2,6,28,86.16
1,2,2,6,29,88.76
1,2,2,6,30,105.26
1,2,3,6,22,24.98
1,2,3,6,23,27.04
1,2,3,6,24,43.72
1,2,3,6,25,46.15
1,2,3,6,26,48.39
1,2,3,6,27,51.71
1,2,3,6,28,68.74
1,2,3,6,29,70.68
1,2,3,6,30,73.24
1,2,4,6,22,4.09
1,2,4,6,23,11.3
1,2,4,6,24,15.25
1,2,4,6,25,16.6
1,2,4,6,26,27.85
1,2,4,6,27,31.39
1,2,4,6,28,32.97
1,2,4,6,29,34.44
1,2,4,6,30,35.79
1,4,1,6,22,129.89
1,4,1,6,23,139.26
1,4,1,6,24,141.54
1,4,1,6,25,143.46
1,4,1,6,26,145.1
1,4,1,6,27,146.47
1,4,1,6,28,147.64
1,4,1,6,29,148.61
1,4,1,6,30,149.43
1,4,2,6,22,65.53
1,4,2,6,23,100.27
1,4,2,6,24,102.74
1,4,2,6,25,104.79
1,4,2,6,26,106.48
1,4,2,6,27,127.09
1,4,2,6,28,128.24
1,4,2,6,29,129.19
1,4,2,6,30,129.96
1,4,3,6,22,22.66
1,4,3,6,23,26.24
1,4,3,6,24,87.51
1,4,3,6,25,91.26
1,4,3,6,26,94.36
1,4,3,6,27,96.9
1,4,3,6,28,152.51
1,4,3,6,29,153.88
1,4,3,6,30,154.96
1,4,4,6,22,7.24
1,4,4,6,23,9.82
1,4,4,6,24,12.55
1,4,4,6,25,47.82
1,4,4,6,26,52.03
1,4,4,6,27,55.79
1,4,4,6,28,59.13
1,4,4,6,29,62.06
1,4,4,6,30,111.7
1,5,1,6,22,7.67
1,5,1,6,23,8.29
1,5,1,6,24,8.87
1,5,1,6,25,16.64
1,5,1,6,26,19.56
1,5,1,6,27,20.31
1,5,1,6,28,20.98
1,5,1,6,29,21.56
1,5,1,6,30,22.07
1,5,2,6,23,5.41
1,5,2,6,24,5.78
1,5,2,6,25,9.98
1,5,2,6,26,10.54
1,5,2,6,27,11.06
1,5,2,6,28,20.04
1,5,2,6,29,20.58
1,5,2,6,30,21.05
1,5,3,6,29,4.07
1,5,3,6,30,4.25
1,6,1,6,22,97.35
1,6,1,6,23,123.7
1,6,1,6,24,125.8
1,6,1,6,25,127.56
1,6,1,6,26,129.02
1,6,1,6,27,130.23
1,6,1,6,28,137.67
1,6,1,6,29,138.62
1,6,1,6,30,139.43
1,6,2,6,22,25.36
1,6,2,6,23,72.7
1,6,2,6,24,76.38
1,6,2,6,25,79.51
1,6,2,6,26,82.16
1,6,2,6,27,120.5
1,6,2,6,28,122.23
1,6,2,6,29,123.33
1,6,2,6,30,124.23
1,6,3,6,22,6.99
1,6,3,6,23,9.29
1,6,3,6,24,40.18
1,6,3,6,25,44.2
1,6,3,6,26,47.82
1,6,3,6,27,51.04
1,6,3,6,28,53.9
1,6,3,6,29,100.58
1,6,3,6,30,102.23
1,6,4,6,23,0.6
1,6,4,6,24,0.97
1,6,4,6,25,7.57
1,6,4,6,26,9.36
1,6,4,6,27,11.71
1,6,4,6,28,13.71
1,6,4,6,29,15.7
1,6,4,6,30,40.6
1,7,1,6,22,76.94
1,7,1,6,23,79.85
1,7,1,6,24,82.4
1,7,1,6,25,107.25
1,7,1,6,26,109.12
1,7,1,6,27,110.75
1,7,1,6,28,112.16
1,7,1,6,29,127.24
1,7,1,6,30,127.9
1,7,2,6,22,35.01
1,7,2,6,23,37.04
1,7,2,6,24,38.83
1,7,2,6,25,67.37
1,7,2,6,26,68.96
1,7,2,6,27,62.17
1,7,2,6,28,91.43
1,7,2,6,29,92.37
1,7,2,6,30,93.13
1,7,3,6,25,36.5
1,7,3,6,26,37.33
1,7,3,6,27,38.02
1,7,3,6,28,40.12
1,7,3,6,29,65.68
1,7,3,6,30,66.95
1,7,4,6,22,3.5
1,7,4,6,23,4.37
1,7,4,6,24,14.21
1,7,4,6,25,15.95
1,7,4,6,26,15.84
1,7,4,6,27,17.11
1,7,4,6,28,18.26
1,7,4,6,29,38.73
1,7,4,6,30,40.06
1,9,1,6,22,88.9
1,9,1,6,23,90.66
1,9,1,6,24,92.1
1,9,1,6,25,93.68
1,9,1,6,26,94.75
1,9,1,6,27,100.59
1,9,1,6,28,101.36
1,9,1,6,29,101.98
1,9,1,6,30,102.85
1,9,2,6,22,28.35
1,9,2,6,23,30.73
1,9,2,6,24,32.83
1,9,2,6,25,34.68
1,9,2,6,26,59.49
1,9,2,6,27,60.56
1,9,2,6,28,61.44
1,9,2,6,29,62.17
1,9,2,6,30,62.77
1,9,3,6,26,26.44
1,9,3,6,27,28.39
1,9,3,6,28,30.1
1,9,3,6,29,31.57
1,9,3,6,30,32.83
2,1,1,5,22,54.63
2,1,1,5,23,56.69
2,1,1,5,24,58.52
2,1,1,5,25,72.57
2,1,1,5,26,74.11
2,1,1,5,27,75.44
2,1,1,5,28,76.82
2,1,1,5,29,77.85
2,1,1,5,30,78.76
2,1,2,5,22,37.78
2,1,2,5,23,40.41
2,1,2,5,24,42.11
2,1,2,5,25,43.64
2,1,2,5,26,45
2,1,2,5,27,46.96
2,1,2,5,28,58.7
2,1,2,5,29,59.73
2,1,2,5,30,61.08
2,1,3,5,22,16.77
2,1,3,5,23,17.91
2,1,3,5,24,20.3
2,1,3,5,25,21.42
2,1,3,5,26,22.45
2,1,3,5,27,32.32
2,1,3,5,28,33.35
2,1,3,5,29,34.28
2,1,3,5,30,35.11
2,1,4,5,22,2.2
2,1,4,5,23,2.51
2,1,4,5,24,4.42
2,1,4,5,25,9.21
2,1,4,5,26,9.94
2,1,4,5,27,10.59
2,1,4,5,28,12.51
2,1,4,5,29,13.21
2,1,4,5,30,13.85
2,2,1,5,22,58.87
2,2,1,5,23,61.3
2,2,1,5,24,63.1
2,2,1,5,25,64.67
2,2,1,5,26,74.54
2,2,1,5,27,75.78
2,2,1,5,28,76.87
2,2,1,5,29,78.01
2,2,1,5,30,78.83
2,2,2,5,22,41.84
2,2,2,5,23,43.6
2,2,2,5,24,45.2
2,2,2,5,25,47.29
2,2,2,5,26,57.44
2,2,2,5,27,58.63
2,2,2,5,28,60.04
2,2,2,5,29,60.97
2,2,2,5,30,61.75
2,2,3,5,22,24.11
2,2,3,5,23,35.36
2,2,3,5,24,37.02
2,2,3,5,25,38.55
2,2,3,5,26,40.54
2,2,3,5,27,41.86
2,2,3,5,28,52.23
2,2,3,5,29,53.66
2,2,3,5,30,54.61
2,2,4,5,22,12.93
2,2,4,5,23,15.66
2,2,4,5,24,16.89
2,2,4,5,25,25.8
2,2,4,5,26,26.97
2,2,4,5,27,29.25
2,2,4,5,28,30.34
2,2,4,5,29,31.32
2,2,4,5,30,33.26
