PROPIETARIO,REGION,ZONA,SITIO,MANEJO,PERIODOPLANTACION,SUPERFICIE
1,6,1,1,1,-22,0.05
1,6,1,1,1,-20,58.15
1,6,1,1,1,-13,0.48
1,6,1,1,1,-12,25.29
1,6,1,1,1,-10,0.24
1,6,1,1,3,-22,0.23
1,6,1,1,9,-19,6.64
1,6,1,2,1,-24,0.22
1,6,1,2,1,-22,2.26
1,6,1,2,1,-21,3.21
1,6,1,2,1,-20,194.66
1,6,1,2,1,-12,13.06
1,6,1,2,1,-10,0.1
1,6,1,2,1,-4,4.82
1,6,1,2,1,-2,140.2
1,6,1,2,3,-12,31.24
1,6,1,2,3,-10,4
1,6,1,2,5,-24,0.2
1,6,1,3,1,-30,0.45
1,6,1,3,1,-29,1.05
1,6,1,3,1,-26,0.18
1,6,1,3,1,-24,4.06
1,6,1,3,1,-23,151.61
1,6,1,3,1,-22,78.05
1,6,1,3,1,-21,4.66
1,6,1,3,1,-20,10.77
1,6,1,3,1,-19,1.44
1,6,1,3,1,-18,0.32
1,6,1,3,1,-16,22.94
1,6,1,3,1,-13,1.17
1,6,1,3,1,-11,0.13
1,6,1,3,1,-9,35.88
1,6,1,3,1,-5,5.13
1,6,1,3,1,-4,591.3
1,6,1,3,1,-3,299.61
1,6,1,3,1,-2,1112.81
1,6,1,3,1,-1,421.98
1,6,1,3,3,-22,2.64
1,6,1,3,3,-14,0.94
1,6,1,3,5,-30,0.13
1,6,1,4,1,-30,28.44
1,6,1,4,1,-29,12.24
1,6,1,4,1,-28,0.67
1,6,1,4,1,-27,23.94
1,6,1,4,1,-25,17.38
1,6,1,4,1,-24,49.06
1,6,1,4,1,-23,109.49
1,6,1,4,1,-22,39.59
1,6,1,4,1,-21,95.43
1,6,1,4,1,-20,50.81
1,6,1,4,1,-19,0.06
1,6,1,4,1,-9,11.4
1,6,1,4,1,-7,0.03
1,6,1,4,1,-3,67.26
1,6,1,4,1,-2,18.16
1,6,1,4,1,-1,263.55
1,6,1,4,3,-30,3.52
1,6,1,4,3,-29,0.32
1,6,1,4,3,-24,9.53
1,6,1,4,3,-22,3.23
1,6,1,4,3,-21,9.79
1,6,1,4,3,-20,4.74
1,6,1,4,4,-21,4.64
1,6,1,4,5,-28,0.22
1,6,1,4,9,-20,2.83
1,6,1,4,9,-18,1.55
1,6,4,2,3,-22,3.79
1,6,4,3,3,-22,341.62
1,6,4,3,4,-22,44.19
1,6,4,4,1,-22,2.92
1,6,4,4,1,-20,12.59
1,6,4,4,3,-22,138.9
1,6,4,4,4,-21,188.61
1,6,4,4,10,-20,13.75
1,7,1,1,1,-30,35.71
1,7,1,1,1,-29,4.79
1,7,1,1,1,-28,10.16
1,7,1,1,1,-27,27.7
1,7,1,1,1,-26,20.51
1,7,1,1,1,-25,54.73
1,7,1,1,1,-24,36.68
1,7,1,1,1,-23,7.93
1,7,1,1,1,-22,169.73
1,7,1,1,1,-21,150.14
1,7,1,1,1,-20,209.54
1,7,1,1,1,-19,85.93
1,7,1,1,1,-18,196.45
1,7,1,1,1,-17,145.05
1,7,1,1,1,-16,636.67
1,7,1,1,1,-15,208.69
1,7,1,1,1,-14,1105.22
1,7,1,1,1,-13,945.44
1,7,1,1,1,-12,664.64
1,7,1,1,1,-11,807.15
1,7,1,1,1,-10,522.45
1,7,1,1,1,-9,591.92
1,7,1,1,1,-8,241.61
1,7,1,1,1,-7,365.94
1,7,1,1,1,-6,1825.41
1,7,1,1,1,-5,523.57
1,7,1,1,1,-4,4295.05
1,7,1,1,1,-3,8445.19
1,7,1,1,1,-2,3665.76
1,7,1,1,1,-1,1661.43
1,7,1,1,2,-30,5.38
1,7,1,1,2,-29,0.85
1,7,1,1,2,-26,0.07
1,7,1,1,2,-25,18.14
1,7,1,1,2,-23,24.8
1,7,1,1,2,-22,11.26
1,7,1,1,2,-21,2.71
1,7,1,1,2,-19,0.6
1,7,1,1,2,-10,4.94
1,7,1,1,2,-9,34.46
1,7,1,1,2,-7,40.85
1,7,1,1,2,-5,579.76
1,7,1,1,2,-4,297.56
1,7,1,1,2,-3,193.52
1,7,1,1,3,-30,8.15
1,7,1,1,3,-29,0.62
1,7,1,1,3,-28,9.97
1,7,1,1,3,-27,10.34
1,7,1,1,3,-26,18.69
1,7,1,1,3,-25,3.59
1,7,1,1,3,-24,7.48
1,7,1,1,3,-23,13.7
1,7,1,1,3,-22,11.33
1,7,1,1,3,-21,26.61
1,7,1,1,3,-20,9.67
1,7,1,1,3,-18,53
1,7,1,1,3,-17,105.81
1,7,1,1,3,-16,105.48
1,7,1,1,3,-15,313.68
1,7,1,1,3,-14,110.67
1,7,1,1,3,-13,382.6
1,7,1,1,3,-12,229.35
1,7,1,1,4,-30,11.94
1,7,1,1,4,-29,10.02
1,7,1,1,4,-28,9.63
1,7,1,1,4,-27,14.85
1,7,1,1,4,-26,0.69
1,7,1,1,4,-25,0.93
1,7,1,1,4,-24,1.11
1,7,1,1,4,-22,9.31
1,7,1,1,4,-21,0.12
1,7,1,1,4,-18,1.01
1,7,1,1,4,-15,0.14
1,7,1,1,4,-12,28.22
1,7,1,1,4,-11,53.61
1,7,1,1,4,-8,9.14
1,7,1,1,5,-30,20.6
1,7,1,1,5,-29,2.47
1,7,1,1,5,-28,8.19
1,7,1,1,5,-27,73.9
1,7,1,1,5,-26,58.51
1,7,1,1,5,-25,16.27
1,7,1,1,5,-24,38.56
1,7,1,1,5,-23,82.58
1,7,1,1,5,-22,112.79
1,7,1,1,5,-21,212.63
1,7,1,1,5,-20,638.17
1,7,1,1,5,-19,499.33
1,7,1,1,5,-18,536.86
1,7,1,1,5,-17,130.8
1,7,1,1,5,-16,94.15
1,7,1,1,5,-15,161.69
1,7,1,1,5,-14,17.79
1,7,1,1,5,-13,21.08
1,7,1,1,5,-12,115.97
1,7,1,1,5,-11,67.37
1,7,1,1,5,-10,9.13
1,7,1,1,5,-8,40.42
1,7,1,1,5,-5,4.97
1,7,1,1,6,-30,13.68
1,7,1,1,6,-28,0.49
1,7,1,1,6,-27,34.84
1,7,1,1,6,-26,5.23
1,7,1,1,6,-25,21.56
1,7,1,1,6,-24,6.9
1,7,1,1,6,-23,6.88
1,7,1,1,6,-22,58.32
1,7,1,1,6,-21,14.4
1,7,1,1,6,-20,1.48
1,7,1,1,6,-18,17.72
1,7,1,1,6,-17,22.84
1,7,1,1,6,-16,36.51
1,7,1,1,6,-13,69.58
