variable,value,prop,region,zona,sitio,manejo,plantacion,cosecha
Y01070101013000,29.560000,01,07,01,01,01,-30,00
Y01070101012900,5.922000,01,07,01,01,01,-29,00
Y01070101012800,1.150000,01,07,01,01,01,-28,00
Y01070101012700,7.110000,01,07,01,01,01,-27,00
Y01070101012600,7.280000,01,07,01,01,01,-26,00
Y01070101012500,2.370000,01,07,01,01,01,-25,00
Y01070101012400,46.890000,01,07,01,01,01,-24,00
Y01070101012300,38.390000,01,07,01,01,01,-23,00
Y01070101012201,45.880000,01,07,01,01,01,-22,01
Y01070101012102,86.050000,01,07,01,01,01,-21,02
Y01070101012003,181.300000,01,07,01,01,01,-20,03
Y01070101011904,43.330000,01,07,01,01,01,-19,04
Y01070101011805,527.600000,01,07,01,01,01,-18,05
Y01070101011706,120.900000,01,07,01,01,01,-17,06
Y01070101011607,172.900000,01,07,01,01,01,-16,07
Y01070101011508,155.000000,01,07,01,01,01,-15,08
Y01070101011409,378.500000,01,07,01,01,01,-14,09
Y01070101011310,237.100000,01,07,01,01,01,-13,10
Y01070101011211,199.300000,01,07,01,01,01,-12,11
Y01070101011112,95.760000,01,07,01,01,01,-11,12
Y01070101010815,118.400000,01,07,01,01,01,-08,15
Y01070101010716,57.320000,01,07,01,01,01,-07,16
Y01070101010617,67.880000,01,07,01,01,01,-06,17
Y01070101010518,0.390000,01,07,01,01,01,-05,18
Y01070101010419,1.050000,01,07,01,01,01,-04,19
Y01070101010122,156.800000,01,07,01,01,01,-01,22
Y01070101023000,33.850000,01,07,01,01,02,-30,00
Y01070101022900,16.220000,01,07,01,01,02,-29,00
Y01070101022800,48.420000,01,07,01,01,02,-28,00
Y01070101022700,16.630000,01,07,01,01,02,-27,00
Y01070101022600,23.390000,01,07,01,01,02,-26,00
Y01070101022500,17.600000,01,07,01,01,02,-25,00
Y01070101022400,94.610000,01,07,01,01,02,-24,00
Y01070101022300,204.200000,01,07,01,01,02,-23,00
Y01070101022201,337.000000,01,07,01,01,02,-22,01
Y01070101022102,388.400000,01,07,01,01,02,-21,02
Y01070101022003,546.800000,01,07,01,01,02,-20,03
Y01070101021904,145.800000,01,07,01,01,02,-19,04
Y01070101021805,351.700000,01,07,01,01,02,-18,05
Y01070101021706,254.200000,01,07,01,01,02,-17,06
Y01070101021607,706.800000,01,07,01,01,02,-16,07
Y01070101021508,342.500000,01,07,01,01,02,-15,08
Y01070101021409,471.100000,01,07,01,01,02,-14,09
Y01070101021310,241.100000,01,07,01,01,02,-13,10
Y01070101021211,3.050000,01,07,01,01,02,-12,11
Y01070101021013,307.600000,01,07,01,01,02,-10,13
Y01070101020914,344.800000,01,07,01,01,02,-09,14
Y01070101020815,343.500000,01,07,01,01,02,-08,15
Y01070101020716,301.100000,01,07,01,01,02,-07,16
Y01070101020617,104.000000,01,07,01,01,02,-06,17
Y01070101020518,421.200000,01,07,01,01,02,-05,18
Y01070101020419,578.900000,01,07,01,01,02,-04,19
Y01070101020320,543.700000,01,07,01,01,02,-03,20
Y01070101020221,521.300000,01,07,01,01,02,-02,21
Y01070101020122,568.300000,01,07,01,01,02,-01,22
Y01070101033000,0.202400,01,07,01,01,03,-30,00
Y01070101032900,12.810000,01,07,01,01,03,-29,00
Y01070101032800,3.450000,01,07,01,01,03,-28,00
Y01070101032700,15.430000,01,07,01,01,03,-27,00
Y01070101032600,5.480000,01,07,01,01,03,-26,00
Y01070101032500,10.550000,01,07,01,01,03,-25,00
Y01070101032400,15.540000,01,07,01,01,03,-24,00
Y01070101032300,84.560000,01,07,01,01,03,-23,00
Y01070101032201,11.310000,01,07,01,01,03,-22,01
Y01070101032102,5.520000,01,07,01,01,03,-21,02
Y01070101032003,5.520000,01,07,01,01,03,-20,03
Y01070101031706,43.560000,01,07,01,01,03,-17,06
Y01070101031409,1.490000,01,07,01,01,03,-14,09
Y01070101031310,1.110000,01,07,01,01,03,-13,10
Y01070101031211,6.860000,01,07,01,01,03,-12,11
Y01070101031112,0.690000,01,07,01,01,03,-11,12
Y01070101082303,0.290000,01,07,01,01,08,-23,03
Y01070101082006,7.910000,01,07,01,01,08,-20,06
Y01070101081808,27.500000,01,07,01,01,08,-18,08
Y01070101081313,0.630000,01,07,01,01,08,-13,13
Y01070101080818,36.280000,01,07,01,01,08,-08,18
Y01070101080224,43.770000,01,07,01,01,08,-02,24
